ID,Block,Trial,Task,TargetPosition,DistractorPosition,Accuracy,fix_x,fix_y
801,7,14,1,6,9,1,521,414
801,7,14,1,6,9,1,330,511
801,7,15,1,3,8,1,543,359
801,7,15,1,3,8,1,724,301
801,7,15,1,3,8,1,609,348
801,7,15,1,3,8,1,561,345
801,7,16,1,4,8,1,546,359
801,7,16,1,4,8,1,492,183
801,7,16,1,4,8,1,517,175
801,7,16,1,4,8,1,516,367
801,7,17,1,5,8,1,519,372
801,7,17,1,5,8,1,355,275
801,7,17,1,5,8,1,489,355
801,7,18,1,5,12,1,508,380
801,7,18,1,5,12,1,362,286
801,7,18,1,5,12,1,507,362
801,7,19,1,5,8,1,681,373
801,7,19,1,5,8,1,509,384
801,7,19,1,5,8,1,354,296
801,7,20,1,6,10,1,510,391
801,7,20,1,6,10,1,334,524
801,8,1,2,7,2,1,644,604
801,8,1,2,7,2,1,671,643
801,8,2,2,12,4,1,384,598
801,8,2,2,12,4,1,395,660
801,8,2,2,12,4,1,398,641
801,8,3,2,7,5,1,655,625
801,8,3,2,7,5,1,668,630
801,8,5,2,10,6,1,404,158
801,8,5,2,10,6,1,498,323
801,8,6,2,8,4,1,814,370
801,8,6,2,8,4,1,576,380
801,8,8,2,8,2,1,818,371
801,8,8,2,8,2,1,605,374
801,8,9,2,9,2,1,653,143
801,8,9,2,9,2,1,686,159
801,8,11,2,8,4,1,855,376
801,8,11,2,8,4,1,824,381
801,8,11,2,8,4,1,584,362
801,8,13,2,7,3,1,661,593
801,8,13,2,7,3,1,668,622
801,8,16,2,12,3,1,395,549
801,8,16,2,12,3,1,388,614
801,8,18,2,12,5,1,382,611
801,8,19,2,11,2,1,233,429
801,8,19,2,11,2,1,247,431
801,9,1,2,8,3,1,788,435
801,9,1,2,8,3,1,813,435
801,9,1,2,8,3,1,804,423
801,9,3,2,11,5,1,265,408
801,9,3,2,11,5,1,274,430
801,9,5,2,8,1,1,795,422
801,9,9,2,7,2,1,668,645
