name    count_2012
Aires   7
Airess  10
Aireyana    14
Airi    128
Airial  27
Airian  11
Airiana 517
Airianna    456
Airica  236
Airicka 17
Airiel  204
Airielle    59
Airika  241
Airin   45
Airiona 6
Airionna    36
Airis   72
Airlene 34
Airlie  27
Airon   7
Airyana 172
Airyanna    212
Airyn   75
Airyona 5
Airyonna    51
Airys   5
Aisa    642
Aisah   10
Aisatou 40
Aisha   23848
Aishah  1538
Aishani 227
Aishat  49
Aishatu 6
Aishe   11
Aishi   37
Aishia  751
Aishlin 5
Aishling    50
Aishlyn 5
Aishwarya   694
Aisia   107
Aisja   7
Aisla   7
Aislee  40
Aisleen 31
Aisleigh    5
Aisley  374
Aislin  803
Aisling 1349
Aislinn 3739
Aislyn  1141
Aislynn 1564
Aislynne    38
Aisosa  23
Aissa   881
Aissata 313
Aissatou    580
Aisya   7
Aitana  294
Aitiana 9
Aitlin  16
Aitza   25
Aiva    362
Aivah   97
Aivan   8
Aivree  34
Aivry   6
Aivy    128
Aixa    1461
Aiya    251
Aiyah   86
Aiyahna 23
Aiyana  6979
Aiyanah 263
Aiyani  6
Aiyanna 3061
Aiyannah    111
Aiyla   76
Aiyona  62
Aiyonna 199
Aiysha  283
Aiza    532
Aizah   103
Aizha   10
Aizlee  15
Aizley  8
Aizlyn  107
Aizlynn 107
Aizza   54
Aj  18
Aja 10023
Ajacia  7
Ajada   61
Ajae    37
Ajah    1490
Ajahnae 133
Ajahnay 6
Ajai    207
Ajala   25
Ajalae  16
Ajalon  13
Ajana   40
Ajanae  830
Ajanai  30
Ajanay  160
Ajane   129
Ajanea  16
Ajanee  151
Ajani   200
Ajanique    38
Ajasia  14
Ajaya   148
Ajayah  5
Ajaycia 11
Ajayla  200
Ajaylah 27
Ajaysia 61
Aje 9
Ajea    17
Ajee    412
Ajeenah 168
Ajena   9
Ajenae  11
Ajene   84
Ajeya   17
Ajha    35
Ajhane  7
Aji 7
Ajia    801
Ajiah   78
Ajiana  21
Ajianna 13
Ajita   23
Ajiya   5
Ajiyah  18
Ajla    524
Ajna    45
Ajooni  10
Ajournee    5
Ajsa    12
Ajsha   7
Ajua    7
Ajuni   11
Ajwa    23
Akacia  162
Akadia  9
Akaela  8
Akai    42
Akaia   43
Akaila  80
Akailah 20
Akaisha 75
Akaiya  70
Akaiyah 12
Akaja   6
Akala   40
Akane   289
Akanksha    155
Akansha 56
Akara   25
Akari   371
Akaria  12
Akasha  1217
Akashia 25
Akasia  110
Akaya   113
Akaycia 5
Akayla  1267
Akaylah 151
Akaylia 18
Akaysha 153
Akaysia 6
Akea    69
Akeara  7
Akeba   63
Akebia  10
Akeda   10
Akeela  199
Akeelah 1133
Akeema  163
Akeena  36
Akeera  22
Akeesha 28
Akeeyla 7
Akeia   310
Akeiba  87
Akeila  230
Akeilah 29
Akeira  228
Akeisha 488
Akeiya  7
Akela   756
Akelah  64
Akelia  102
Akemi   859
Akena   14
Akendra 10
Akenya  11
Akera   304
Akerah  33
Akeria  322
Akeriah 5
Akerria 11
Akesha  280
Akeshia 100
Aketzalli   5
Akevia  37
Akeya   361
Akeyah  18
Akeyia  25
Akeyla  372
Akeylah 154
Akeyra  6
Akhia   60
Akhila  220
Akhirah 13
Akhiya  5
Aki 307
Akia    2292
Akiah   138
Akiana  6
Akiba   209
Akida   33
Akie    65
Akieba  9
Akiela  21
Akiera  236
Akierra 8
Akiesha 43
Akiko   2466
Akila   834
Akilah  4186
Akili   255
Akilia  7
Akima   110
Akimi   21
Akina   541
Akira   5507
Akirah  378
Akire   68
Akiria  45
Akirra  80
Akisha  750
Akishia 12
Akita   315
Akiva   142
Akiya   571
Akiyah  370
Akiylah 5
Akiyra  5
Akon    5
Akosha  5
Akosua  408
Akoya   5
Akria   6
Akriti  15
Aksa    6
Aksana  8
Akshadha    15
Akshara 577
Akshata 19
Akshaya 329
Akshita 209
Akshitha    71
Akua    739
Akura   12
Akwete  14
Akya    123
Akyah   82
Akyia   88
Akyiah  6
Akyla   177
Akylah  123
Akyra   555
Akyrah  46
Akyria  6
Al  1291
Ala 2351
Alaa    1081
Alaana  5
Alabama 193
Alacia  757
Alacyia 6
Aladrian    6
Alaejah 17
Alaena  217
Alaetra 42
Alaeyah 11
Alafia  12
Alah    7
Alahna  741
Alahni  83
Alahnna 11
Alai    5
Alaia   457
Alaiah  135
Alaida  19
Alaiha  5
Alaija  206
Alaijah 535
Alaijha 37
Alaila  266
Alailah 48
Alain   14
Alaina  35100
Alainah 282
Alaine  3647
Alainey 22
Alaini  27
Alainie 19
Alainna 711
Alainnah    19
Alair   15
Alaira  116
Alaire  79
Alaisa  108
Alaisha 548
Alaisia 45
Alaiya  416
Alaiyah 474
Alaiyna 20
Alaiza  149
Alaizah 22
Alaizha 5
Alaja   176
Alajah  576
Alajha  34
Alajhia 5
Alajia  79
Alajiah 81
Alala   16
Alama   31
Alamae  89
Alamar  72
Alamea  33
Alameda 183
Alan    3022
Alana   58100
Alanah  2907
Alancia 11
Alanda  1779
Alandra 1223
Alandrea    62
Alandria    597
Alane   4533
Alanea  103
Alanee  41
Alaney  73
Alani   4391
Alania  576
Alanie  428
Alanii  30
Alanis  2167
Alaniz  33
Alanna  25252
Alannah 4868
Alanni  185
Alannie 41
Alannis 175
Alanny  46
Alanoud 5
Alanta  105
Alante  146
Alantis 172
Alantra 93
Alany   264
Alanya  141
Alanys  184
Alara   570
Alarah  7
Alaria  53
Alarice 42
Alarie  16
Alaris  12
Alasha  390
Alashia 257
Alasia  1388
Alasiah 27
Alaska  443
Alassandra  26
Alathea 30
Alauna  654
Alaundra    14
Alauni  21
Alaunna 6
Alaura  1459
Alawna  78
Alaxandra   31
Alaxandria  15
Alaxis  7
Alaya   3089
Alayah  2835
Alayana 13
Alayasia    97
Alaycia 200
Alaye   7
Alayha  110
Alayia  279
Alayiah 246
Alayja  285
Alayjah 560
Alayjha 12
Alayjia 6
Alayjiah    6
Alayla  682
Alaylah 102
Alayna  21142
Alaynah 533
Alayne  3464
Alaynia 5
Alaynie 12
Alaynna 403
Alaysa  58
Alaysha 1481
Alayshia    551
Alaysia 3536
Alaysiah    53
Alayssa 68
Alaythia    16
Alayza  140
Alayzah 11
Alayzha 73
Alayzhia    7
Alayzia 276
Alayziah    69
Alaza   28
Alazae  281
Alazah  8
Alazay  263
Alazaya 11
Alaze   104
Alazea  18
Alazhia 6
Alazia  255
Alaziah 18
Alazne  14
Alba    18723
Albana  87
Albani  23
Albanie 22
Albany  654
Albee   5
Albena  3660
Alberdia    115
Albert  16632
Alberta 159625
Alberteen   326
Albertha    28525
Albertia    1456
Albertie    57
Albertina   13410
Albertine   20217
Alberto 1366
Albesa  67
Albia   33
Albie   1558
Albina  34669
Albiona 12
Albirda 1019
Albirdia    151
Albirta 2191
Albirtha    701
Albree  33
Albrey  13
Albria  7
Alby    62
Alcaria 33
Alchemy 5
Alcia   48
Alcie   4204
Alcina  12
Alcine  28
Alcy    29
Alda    32431
Aldah   28
Aldana  12
Aldea   3282
Aldean  2349
Aldeen  360
Alden   1029
Aldena  1635
Aldene  2014
Alder   223
Aldia   157
Aldie   74
Aldijana    13
Aldina  1225
Aldine  5681
Aldo    49
Aldona  5195
Aldonia 1335
Aldonna 26
Aldora  3496
Aldoris 34
Aldrena 26
Aldrina 19
Aldyn   25
Aldyth  115
Alea    4409
Aleacia 52
Aleah   11015
Aleaha  782
Aleahya 16
Alean   6811
Aleana  772
Aleanah 19
Aleandra    8
Aleane  604
Aleanna 78
Aleara  13
Aleasa  70
Alease  10340
Aleasha 1673
Aleashia    45
Aleasia 46
Aleata  49
Aleatha 3787
Aleathea    269
Aleathia    214
Aleatra 8
Aleaya  105
Aleayah 96
Alec    481
Aleca   10
Aleccia 8
Alece   152
Alecea  169
Aleceia 5
Alecha  32
Alechia 195
Alecia  20127
Alecsa  14
Alecsandra  22
Alecsis 5
Alectra 23
Alecxa  13
Alecxia 7
Aleczandria 18
Aleda   6693
Aledra  10
Alee    1160
Aleea   568
Aleeah  711
Aleeana 5
Aleece  1006
Aleecia 724
Aleeha  63
Aleeka  7
Aleela  6
